table_schema,table_name,constraint_name,constraint_type,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
public,account_holder,2200_24617_1_not_null,CHECK,,,,
public,account_holder,2200_24617_2_not_null,CHECK,,,,
public,account_holder,2200_24617_3_not_null,CHECK,,,,
public,account_holder,2200_24617_5_not_null,CHECK,,,,
public,account_holder,2200_24617_7_not_null,CHECK,,,,
public,account_holder,2200_24617_8_not_null,CHECK,,,,
public,account_holder,account_holder_pkey,PRIMARY KEY,id,public,account_holder,id
public,api_key,2200_24625_12_not_null,CHECK,,,,
public,api_key,2200_24625_1_not_null,CHECK,,,,
public,api_key,2200_24625_2_not_null,CHECK,,,,
public,api_key,2200_24625_3_not_null,CHECK,,,,
public,api_key,2200_24625_4_not_null,CHECK,,,,
public,api_key,2200_24625_5_not_null,CHECK,,,,
public,api_key,2200_24625_6_not_null,CHECK,,,,
public,api_key,2200_24625_8_not_null,CHECK,,,,
public,api_key,2200_24625_9_not_null,CHECK,,,,
public,api_key,api_key_pkey,PRIMARY KEY,id,public,api_key,id
public,api_key,api_key_type_check,CHECK,,public,api_key,type
public,application_method_buy_rules,2200_24633_1_not_null,CHECK,,,,
public,application_method_buy_rules,2200_24633_2_not_null,CHECK,,,,
public,application_method_buy_rules,application_method_buy_rules_application_method_id_foreign,FOREIGN KEY,application_method_id,public,promotion_application_method,id
public,application_method_buy_rules,application_method_buy_rules_pkey,PRIMARY KEY,promotion_rule_id,public,application_method_buy_rules,promotion_rule_id
public,application_method_buy_rules,application_method_buy_rules_pkey,PRIMARY KEY,promotion_rule_id,public,application_method_buy_rules,application_method_id
public,application_method_buy_rules,application_method_buy_rules_pkey,PRIMARY KEY,application_method_id,public,application_method_buy_rules,application_method_id
public,application_method_buy_rules,application_method_buy_rules_pkey,PRIMARY KEY,application_method_id,public,application_method_buy_rules,promotion_rule_id
public,application_method_buy_rules,application_method_buy_rules_promotion_rule_id_foreign,FOREIGN KEY,promotion_rule_id,public,promotion_rule,id
public,application_method_target_rules,2200_24638_1_not_null,CHECK,,,,
public,application_method_target_rules,2200_24638_2_not_null,CHECK,,,,
public,application_method_target_rules,application_method_target_rules_application_method_id_foreign,FOREIGN KEY,application_method_id,public,promotion_application_method,id
public,application_method_target_rules,application_method_target_rules_pkey,PRIMARY KEY,application_method_id,public,application_method_target_rules,application_method_id
public,application_method_target_rules,application_method_target_rules_pkey,PRIMARY KEY,promotion_rule_id,public,application_method_target_rules,promotion_rule_id
public,application_method_target_rules,application_method_target_rules_pkey,PRIMARY KEY,application_method_id,public,application_method_target_rules,promotion_rule_id
public,application_method_target_rules,application_method_target_rules_pkey,PRIMARY KEY,promotion_rule_id,public,application_method_target_rules,application_method_id
public,application_method_target_rules,application_method_target_rules_promotion_rule_id_foreign,FOREIGN KEY,promotion_rule_id,public,promotion_rule,id
public,auth_identity,2200_24643_1_not_null,CHECK,,,,
public,auth_identity,2200_24643_3_not_null,CHECK,,,,
public,auth_identity,2200_24643_4_not_null,CHECK,,,,
public,auth_identity,auth_identity_pkey,PRIMARY KEY,id,public,auth_identity,id
public,capture,2200_24650_1_not_null,CHECK,,,,
public,capture,2200_24650_2_not_null,CHECK,,,,
public,capture,2200_24650_3_not_null,CHECK,,,,
public,capture,2200_24650_4_not_null,CHECK,,,,
public,capture,2200_24650_5_not_null,CHECK,,,,
public,capture,2200_24650_6_not_null,CHECK,,,,
public,capture,capture_payment_id_foreign,FOREIGN KEY,payment_id,public,payment,id
public,capture,capture_pkey,PRIMARY KEY,id,public,capture,id
public,cart,2200_24657_10_not_null,CHECK,,,,
public,cart,2200_24657_11_not_null,CHECK,,,,
public,cart,2200_24657_1_not_null,CHECK,,,,
public,cart,2200_24657_6_not_null,CHECK,,,,
public,cart,cart_billing_address_id_foreign,FOREIGN KEY,billing_address_id,public,cart_address,id
public,cart,cart_pkey,PRIMARY KEY,id,public,cart,id
public,cart,cart_shipping_address_id_foreign,FOREIGN KEY,shipping_address_id,public,cart_address,id
public,cart_address,2200_24664_14_not_null,CHECK,,,,
public,cart_address,2200_24664_15_not_null,CHECK,,,,
public,cart_address,2200_24664_1_not_null,CHECK,,,,
public,cart_address,cart_address_pkey,PRIMARY KEY,id,public,cart_address,id
public,cart_line_item,2200_24671_19_not_null,CHECK,,,,
public,cart_line_item,2200_24671_1_not_null,CHECK,,,,
public,cart_line_item,2200_24671_20_not_null,CHECK,,,,
public,cart_line_item,2200_24671_21_not_null,CHECK,,,,
public,cart_line_item,2200_24671_24_not_null,CHECK,,,,
public,cart_line_item,2200_24671_25_not_null,CHECK,,,,
public,cart_line_item,2200_24671_27_not_null,CHECK,,,,
public,cart_line_item,2200_24671_28_not_null,CHECK,,,,
public,cart_line_item,2200_24671_2_not_null,CHECK,,,,
public,cart_line_item,2200_24671_31_not_null,CHECK,,,,
public,cart_line_item,2200_24671_32_not_null,CHECK,,,,
public,cart_line_item,2200_24671_3_not_null,CHECK,,,,
public,cart_line_item,2200_24671_6_not_null,CHECK,,,,
public,cart_line_item,cart_line_item_cart_id_foreign,FOREIGN KEY,cart_id,public,cart,id
public,cart_line_item,cart_line_item_pkey,PRIMARY KEY,id,public,cart_line_item,id
public,cart_line_item,cart_line_item_unit_price_check,CHECK,,public,cart_line_item,unit_price
public,cart_line_item_adjustment,2200_24684_10_not_null,CHECK,,,,
public,cart_line_item_adjustment,2200_24684_13_not_null,CHECK,,,,
public,cart_line_item_adjustment,2200_24684_1_not_null,CHECK,,,,
public,cart_line_item_adjustment,2200_24684_5_not_null,CHECK,,,,
public,cart_line_item_adjustment,2200_24684_6_not_null,CHECK,,,,
public,cart_line_item_adjustment,2200_24684_9_not_null,CHECK,,,,
public,cart_line_item_adjustment,cart_line_item_adjustment_check,CHECK,,public,cart_line_item_adjustment,amount
public,cart_line_item_adjustment,cart_line_item_adjustment_item_id_foreign,FOREIGN KEY,item_id,public,cart_line_item,id
public,cart_line_item_adjustment,cart_line_item_adjustment_pkey,PRIMARY KEY,id,public,cart_line_item_adjustment,id
public,cart_line_item_tax_line,2200_24693_1_not_null,CHECK,,,,
public,cart_line_item_tax_line,2200_24693_4_not_null,CHECK,,,,
public,cart_line_item_tax_line,2200_24693_5_not_null,CHECK,,,,
public,cart_line_item_tax_line,2200_24693_8_not_null,CHECK,,,,
public,cart_line_item_tax_line,2200_24693_9_not_null,CHECK,,,,
public,cart_line_item_tax_line,cart_line_item_tax_line_item_id_foreign,FOREIGN KEY,item_id,public,cart_line_item,id
public,cart_line_item_tax_line,cart_line_item_tax_line_pkey,PRIMARY KEY,id,public,cart_line_item_tax_line,id
public,cart_payment_collection,2200_24700_1_not_null,CHECK,,,,
public,cart_payment_collection,2200_24700_2_not_null,CHECK,,,,
public,cart_payment_collection,2200_24700_3_not_null,CHECK,,,,
public,cart_payment_collection,2200_24700_4_not_null,CHECK,,,,
public,cart_payment_collection,2200_24700_5_not_null,CHECK,,,,
public,cart_payment_collection,cart_payment_collection_pkey,PRIMARY KEY,cart_id,public,cart_payment_collection,cart_id
public,cart_payment_collection,cart_payment_collection_pkey,PRIMARY KEY,payment_collection_id,public,cart_payment_collection,payment_collection_id
public,cart_payment_collection,cart_payment_collection_pkey,PRIMARY KEY,cart_id,public,cart_payment_collection,payment_collection_id
public,cart_payment_collection,cart_payment_collection_pkey,PRIMARY KEY,payment_collection_id,public,cart_payment_collection,cart_id
public,cart_promotion,2200_24707_1_not_null,CHECK,,,,
public,cart_promotion,2200_24707_2_not_null,CHECK,,,,
public,cart_promotion,2200_24707_3_not_null,CHECK,,,,
public,cart_promotion,2200_24707_4_not_null,CHECK,,,,
public,cart_promotion,2200_24707_5_not_null,CHECK,,,,
public,cart_promotion,cart_promotion_pkey,PRIMARY KEY,cart_id,public,cart_promotion,promotion_id
public,cart_promotion,cart_promotion_pkey,PRIMARY KEY,promotion_id,public,cart_promotion,promotion_id
public,cart_promotion,cart_promotion_pkey,PRIMARY KEY,cart_id,public,cart_promotion,cart_id
public,cart_promotion,cart_promotion_pkey,PRIMARY KEY,promotion_id,public,cart_promotion,cart_id
