schemaname,tablename,indexname,indexdef
public,account_holder,IDX_account_holder_deleted_at,"CREATE INDEX ""IDX_account_holder_deleted_at"" ON public.account_holder USING btree (deleted_at) WHERE (deleted_at IS NULL)"
public,account_holder,IDX_account_holder_provider_id_external_id_unique,"CREATE UNIQUE INDEX ""IDX_account_holder_provider_id_external_id_unique"" ON public.account_holder USING btree (provider_id, external_id) WHERE (deleted_at IS NULL)"
public,account_holder,account_holder_pkey,CREATE UNIQUE INDEX account_holder_pkey ON public.account_holder USING btree (id)
public,api_key,IDX_api_key_deleted_at,"CREATE INDEX ""IDX_api_key_deleted_at"" ON public.api_key USING btree (deleted_at) WHERE (deleted_at IS NULL)"
public,api_key,IDX_api_key_redacted,"CREATE INDEX ""IDX_api_key_redacted"" ON public.api_key USING btree (redacted) WHERE (deleted_at IS NULL)"
public,api_key,IDX_api_key_revoked_at,"CREATE INDEX ""IDX_api_key_revoked_at"" ON public.api_key USING btree (revoked_at) WHERE (deleted_at IS NULL)"
public,api_key,IDX_api_key_token_unique,"CREATE UNIQUE INDEX ""IDX_api_key_token_unique"" ON public.api_key USING btree (token)"
public,api_key,IDX_api_key_type,"CREATE INDEX ""IDX_api_key_type"" ON public.api_key USING btree (type)"
public,api_key,api_key_pkey,CREATE UNIQUE INDEX api_key_pkey ON public.api_key USING btree (id)
public,application_method_buy_rules,application_method_buy_rules_pkey,"CREATE UNIQUE INDEX application_method_buy_rules_pkey ON public.application_method_buy_rules USING btree (application_method_id, promotion_rule_id)"
public,application_method_target_rules,application_method_target_rules_pkey,"CREATE UNIQUE INDEX application_method_target_rules_pkey ON public.application_method_target_rules USING btree (application_method_id, promotion_rule_id)"
public,auth_identity,IDX_auth_identity_deleted_at,"CREATE INDEX ""IDX_auth_identity_deleted_at"" ON public.auth_identity USING btree (deleted_at) WHERE (deleted_at IS NULL)"
public,auth_identity,auth_identity_pkey,CREATE UNIQUE INDEX auth_identity_pkey ON public.auth_identity USING btree (id)
public,capture,IDX_capture_deleted_at,"CREATE INDEX ""IDX_capture_deleted_at"" ON public.capture USING btree (deleted_at)"
public,capture,IDX_capture_payment_id,"CREATE INDEX ""IDX_capture_payment_id"" ON public.capture USING btree (payment_id) WHERE (deleted_at IS NULL)"
public,capture,capture_pkey,CREATE UNIQUE INDEX capture_pkey ON public.capture USING btree (id)
public,cart,IDX_cart_billing_address_id,"CREATE INDEX ""IDX_cart_billing_address_id"" ON public.cart USING btree (billing_address_id) WHERE ((deleted_at IS NULL) AND (billing_address_id IS NOT NULL))"
public,cart,IDX_cart_currency_code,"CREATE INDEX ""IDX_cart_currency_code"" ON public.cart USING btree (currency_code)"
public,cart,IDX_cart_customer_id,"CREATE INDEX ""IDX_cart_customer_id"" ON public.cart USING btree (customer_id) WHERE ((deleted_at IS NULL) AND (customer_id IS NOT NULL))"
public,cart,IDX_cart_deleted_at,"CREATE INDEX ""IDX_cart_deleted_at"" ON public.cart USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)"
public,cart,IDX_cart_region_id,"CREATE INDEX ""IDX_cart_region_id"" ON public.cart USING btree (region_id) WHERE ((deleted_at IS NULL) AND (region_id IS NOT NULL))"
public,cart,IDX_cart_sales_channel_id,"CREATE INDEX ""IDX_cart_sales_channel_id"" ON public.cart USING btree (sales_channel_id) WHERE ((deleted_at IS NULL) AND (sales_channel_id IS NOT NULL))"
public,cart,IDX_cart_shipping_address_id,"CREATE INDEX ""IDX_cart_shipping_address_id"" ON public.cart USING btree (shipping_address_id) WHERE ((deleted_at IS NULL) AND (shipping_address_id IS NOT NULL))"
public,cart,cart_pkey,CREATE UNIQUE INDEX cart_pkey ON public.cart USING btree (id)
public,cart_address,IDX_cart_address_deleted_at,"CREATE INDEX ""IDX_cart_address_deleted_at"" ON public.cart_address USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)"
public,cart_address,cart_address_pkey,CREATE UNIQUE INDEX cart_address_pkey ON public.cart_address USING btree (id)
