schemaname,table_name,estimated_rows,total_size
public,image,7019,5160 kB
public,product_variant,4270,4952 kB
public,inventory_level,7725,4760 kB
public,product_variant_inventory_item,8022,4112 kB
public,product_variant_option,9705,4080 kB
public,product_variant_price_set,8100,3968 kB
public,product,838,3928 kB
public,price,8139,3448 kB
public,inventory_item,8022,2160 kB
public,price_set,8104,1376 kB
public,product_option_value,3955,1248 kB
public,product_category_product,2453,616 kB
public,product_category,477,528 kB
public,product_option,1216,504 kB
public,product_sales_channel,811,456 kB
public,product_shipping_profile,689,400 kB
public,order,1,192 kB
public,price_rule,12,160 kB
public,order_change,6,152 kB
public,product_tag,285,144 kB
public,cart,6,136 kB
public,order_shipping,2,128 kB
public,cart_line_item,6,128 kB
public,order_change_action,5,120 kB
public,region_country,250,120 kB
public,api_key,3,112 kB
public,shipping_option,4,104 kB
public,tax_region,7,104 kB
public,workflow_execution,0,104 kB
public,region_payment_provider,4,96 kB
public,location_fulfillment_set,3,96 kB
public,order_payment_collection,2,96 kB
public,sales_channel_stock_location,3,96 kB
public,publishable_api_key_sales_channel,1,96 kB
public,location_fulfillment_provider,2,96 kB
public,shipping_option_price_set,4,96 kB
public,geo_zone,13,88 kB
public,reservation_item,1,88 kB
public,customer_address,1,88 kB
public,order_item,3,88 kB
public,product_tags,101,80 kB
public,provider_identity,3,80 kB
public,order_transaction,0,72 kB
public,currency,123,72 kB
public,order_line_item,3,72 kB
public,cart_shipping_method,1,72 kB
public,service_zone,3,72 kB
public,order_address,2,64 kB
public,store_locale,2,64 kB
public,promotion_application_method,0,64 kB
public,product_collection,8,64 kB
public,promotion,0,64 kB
public,product_type,7,64 kB
public,customer,1,64 kB
public,user,2,56 kB
public,store_currency,3,56 kB
public,price_preference,5,56 kB
public,payment,0,56 kB
public,stock_location,2,56 kB
public,price_list_rule,0,56 kB
public,order_summary,4,56 kB
public,mikro_orm_migrations,161,56 kB
public,shipping_profile,1,56 kB
public,shipping_option_rule,8,56 kB
public,fulfillment_set,3,56 kB
public,promotion_rule,0,56 kB
public,order_cart,0,48 kB
public,return_item,0,48 kB
public,auth_identity,3,48 kB
public,customer_account_holder,0,48 kB
public,return_fulfillment,0,48 kB
public,link_module_migrations,18,48 kB
public,refund_reason,3,48 kB
public,fulfillment_item,0,48 kB
public,order_claim,0,48 kB
public,tax_rate_rule,0,48 kB
public,order_promotion,0,48 kB
public,payment_collection,2,48 kB
public,view_configuration,0,48 kB
public,sales_channel,2,48 kB
public,notification_provider,1,48 kB
public,order_shipping_method,1,48 kB
public,payment_provider,9,48 kB
public,tax_provider,1,48 kB
public,promotion_rule_value,0,48 kB
public,return,0,48 kB
public,notification,0,48 kB
public,fulfillment_provider,1,48 kB
public,order_exchange,0,48 kB
public,cart_promotion,0,48 kB
public,order_fulfillment,0,48 kB
public,cart_payment_collection,0,48 kB
public,promotion_campaign_budget,0,40 kB
public,store,1,40 kB
public,cart_line_item_tax_line,0,40 kB
public,tax_rate,0,40 kB
public,region,2,40 kB
public,invite,0,40 kB
public,order_claim_item,0,40 kB
public,shipping_option_type,4,40 kB
public,cart_shipping_method_adjustment,0,40 kB
public,script_migrations,2,40 kB
public,promotion_campaign_budget_usage,0,40 kB
public,stock_location_address,2,40 kB
public,fulfillment,0,40 kB
public,user_preference,0,40 kB
public,cart_shipping_method_tax_line,0,40 kB
public,product_variant_product_image,0,40 kB
public,order_credit_line,0,40 kB
public,customer_group_customer,0,40 kB
public,order_exchange_item,0,40 kB
public,credit_line,0,40 kB
public,cart_address,2,40 kB
public,refund,0,40 kB
public,cart_line_item_adjustment,0,40 kB
public,account_holder,0,32 kB
public,price_list,0,32 kB
public,order_claim_item_image,0,32 kB
public,fulfillment_label,0,32 kB
public,promotion_campaign,0,32 kB
public,payment_session,0,32 kB
public,customer_group,0,32 kB
public,capture,0,32 kB
public,return_reason,0,32 kB
public,order_line_item_tax_line,0,24 kB
public,fulfillment_address,0,24 kB
public,order_line_item_adjustment,0,24 kB
public,order_shipping_method_adjustment,0,24 kB
public,order_shipping_method_tax_line,0,24 kB
public,promotion_promotion_rule,0,16 kB
public,payment_collection_payment_providers,0,16 kB
public,application_method_buy_rules,0,16 kB
public,application_method_target_rules,0,16 kB
